id;name;light;number;address;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry;datetime
16;San Vicente Ferrer;2;15;Calle San Vicente Ferrer nº 64;1;0;21;11;7;0;{'type': 'Point', 'coordinates': [-3.7074453, 40.4262383]};2020-12-13T12:55:03.723690
17;San Bernardo;0;16;Calle San Bernardo nº 22;1;0;21;3;17;0;{'type': 'Point', 'coordinates': [-3.7075065, 40.4230721]};2020-12-13T12:55:03.723690
18;Carlos Cambronero;2;17;Plaza de Carlos Cambronero nº 2;1;0;24;9;15;1;{'type': 'Point', 'coordinates': [-3.7038312, 40.4232649]};2020-12-13T12:55:03.723690
19;Plaza de Pedro Zerolo;1;18;Plaza de Pedro Zerolo;1;0;24;15;5;0;{'type': 'Point', 'coordinates': [-3.6996502, 40.4207773]};2020-12-13T12:55:03.723690
20;Prim;0;19;Calle Prim nº 2;1;0;24;2;18;0;{'type': 'Point', 'coordinates': [-3.6954983, 40.4218616]};2020-12-13T12:55:03.723690
21;Banco de España A;2;20a;Calle Alcalá nº 49;1;0;30;18;9;2;{'type': 'Point', 'coordinates': [-3.6954615, 40.4192342]};2020-12-13T12:55:03.723690
25;Jacometrezo;1;22;Calle Jacometrezo nº 3;1;0;24;17;2;0;{'type': 'Point', 'coordinates': [-3.7065376, 40.4200783]};2020-12-13T12:55:03.723690
26;Santo Domingo;1;23;Plaza de Santo Domingo nº 1;1;0;24;17;4;0;{'type': 'Point', 'coordinates': [-3.7081246, 40.4202834]};2020-12-13T12:55:03.723690
27;Palacio de Oriente;1;24;Calle Carlos III nº 1;1;0;24;17;5;0;{'type': 'Point', 'coordinates': [-3.710692, 40.417908]};2020-12-13T12:55:03.723690
28;Plaza de Celenque A;0;25a;Plaza de Celenque nº 1;1;0;24;1;21;0;{'type': 'Point', 'coordinates': [-3.7057791, 40.4173703]};2020-12-13T12:55:03.723690
29;Plaza de Celenque B;0;25b;Plaza de Celenque nº 1;1;0;24;2;20;0;{'type': 'Point', 'coordinates': [-3.7063837, 40.4172781]};2020-12-13T12:55:03.723690
30;Plaza de las Salesas;0;26;Plaza de las Salesas 7;1;0;24;3;19;0;{'type': 'Point', 'coordinates': [-3.694475, 40.423855]};2020-12-13T12:55:03.723690
31;Huertas;0;27;Calle Jesús nº 1;1;0;24;2;21;0;{'type': 'Point', 'coordinates': [-3.6956178, 40.4132798]};2020-12-13T12:55:03.723690
32;Sevilla;0;28;Calle Alcalá nº 27;1;0;24;5;16;0;{'type': 'Point', 'coordinates': [-3.6984368, 40.4181518]};2020-12-13T12:55:03.723690
33;Marqués de Cubas;2;29;Calle del Marqués de Cubas nº 25;1;0;24;15;7;0;{'type': 'Point', 'coordinates': [-3.6957355, 40.4162619]};2020-12-13T12:55:03.723690
34;San Quintín;1;30;Calle Pavía nº 6;1;0;27;18;0;0;{'type': 'Point', 'coordinates': [-3.711504, 40.4192095]};2020-12-13T12:55:03.723690
35;Calle Mayor;0;31;Calle Mayor nº 20;1;0;27;2;24;0;{'type': 'Point', 'coordinates': [-3.7068969, 40.4163638]};2020-12-13T12:55:03.723690
36;Plaza de la Provincia;1;32;Plaza de la Provincia nº 1;1;0;18;12;5;1;{'type': 'Point', 'coordinates': [-3.7061032, 40.4150099]};2020-12-13T12:55:03.723690
37;Carretas;2;33;Calle Carretas nº 8;1;0;21;8;11;1;{'type': 'Point', 'coordinates': [-3.7030833, 40.4165039]};2020-12-13T12:55:03.723690
