fecha_hora;idelem;intensidad;ocupacion;carga;nivelServicio;error;st_x;st_y
13/12/2020 12:40:07;5202;320;23;53;2;N;447210,578852678;4470114,16380087
13/12/2020 12:40:07;5205;40;1;13;0;N;447290,545824806;4470084,05372384
13/12/2020 12:40:07;5209;80;27;27;1;N;447613,785028399;4470061,53932012
13/12/2020 12:40:07;3772;60;2;25;0;S;447601,317690841;4470073,74457362
13/12/2020 12:40:07;5210;340;51;51;2;N;447586,732409831;4470058,53383426
13/12/2020 12:40:07;5211;120;12;29;1;N;448581,844289377;4470599,59018589
13/12/2020 12:40:07;5231;440;1;26;1;N;446991,034509043;4470638,00725697
13/12/2020 12:40:07;3482;100;0;12;0;N;447069,263470014;4470567,42078494
13/12/2020 12:40:07;5232;499;4;30;1;N;446970,333106833;4470397,77607485
13/12/2020 12:40:07;5233;480;3;38;1;N;446777,732094274;4470478,60631872
13/12/2020 12:40:07;5234;20;0;4;0;N;446879,665201495;4470603,04694031
13/12/2020 12:40:07;9837;280;1;25;0;N;446794,028061831;4470489,897472
13/12/2020 12:40:07;9834;660;4;62;2;N;446598,50289234;4470459,95114104
13/12/2020 12:40:07;10157;440;2;28;1;N;446664,721704769;4470474,21552589
13/12/2020 12:40:07;10158;480;5;38;1;N;446534,955845896;4470402,75961877
13/12/2020 12:40:07;5862;420;3;31;1;N;446465,691586637;4470391,77022312
13/12/2020 12:40:07;5861;80;5;40;1;N;446514,990574165;4470463,33216955
13/12/2020 12:40:07;10159;700;5;34;1;N;446404,455210668;4470509,84150048
13/12/2020 12:40:07;10160;640;4;35;1;N;446401,909064694;4470500,20753443
13/12/2020 12:40:07;5845;380;2;27;1;N;446284,263361177;4470581,89059944
13/12/2020 12:40:07;10161;900;8;35;1;N;446236,688754476;4470599,8353923
13/12/2020 12:40:07;5843;900;6;35;1;N;446153,165571493;4470683,86494984
13/12/2020 12:40:07;5851;400;19;36;1;N;446239,280086867;4470728,33927312
13/12/2020 12:40:07;5235;920;5;35;1;N;446937,031674333;4470426,45430393
13/12/2020 12:40:07;9836;120;43;33;1;N;446719,260132931;4470458,20047051
13/12/2020 12:40:07;9835;40;28;11;0;N;446677,177611001;4470490,95924548
13/12/2020 12:40:07;6505;200;28;41;1;N;447198,273863377;4471241,53005767
13/12/2020 12:40:07;6506;380;58;69;2;N;447202,561162943;4471270,56469573
13/12/2020 12:40:07;6507;120;45;37;1;N;447213,936711775;4471257,73152113
13/12/2020 12:40:07;5866;40;0;13;0;S;446287,160273172;4470536,15465918
13/12/2020 12:40:07;5357;320;2;49;1;N;448294,889646127;4468938,51006792
13/12/2020 12:40:07;5358;140;0;15;0;N;448360,44932296;4468790,18414571
13/12/2020 12:40:07;5359;100;1;16;0;N;448198,285195018;4468779,5995724
13/12/2020 12:40:07;5360;200;1;14;0;N;448363,567471873;4468801,2925395
13/12/2020 12:40:07;5361;80;0;11;0;N;448099,492802174;4468946,87147966
13/12/2020 12:40:07;5362;440;14;45;1;N;448457,948911143;4469187,66124661
13/12/2020 12:40:07;5363;900;9;45;1;N;448492,186074527;4469085,45805003
13/12/2020 12:40:07;5364;160;1;24;0;N;448385,444875925;4469064,8947068
13/12/2020 12:40:07;5365;300;2;37;1;N;448366,019595425;4469160,80801728
13/12/2020 12:40:07;5366;240;2;23;0;N;448427,62393117;4468715,15564471
13/12/2020 12:40:07;5367;120;0;13;0;N;448434,772259239;4468725,94630418
13/12/2020 12:40:07;5370;960;17;52;2;N;448548,063819383;4468584,98665155
13/12/2020 12:40:07;9864;160;1;22;0;N;448530,721541746;4469174,33524691
13/12/2020 12:40:07;5373;60;0;18;0;N;448688,054922876;4468559,12586419
13/12/2020 12:40:07;5374;200;1;17;0;N;448719,873484542;4468434,8019359
13/12/2020 12:40:07;5375;160;0;30;1;N;448842,711628611;4468473,07283799
13/12/2020 12:40:07;5376;499;30;99;3;N;448818,172046738;4468598,38730437
13/12/2020 12:40:07;5377;60;0;20;0;N;448989,869018155;4468362,91771631
13/12/2020 12:40:07;5378;100;51;30;1;S;449055,758589162;4468216,69717045
13/12/2020 12:40:07;5379;140;0;23;0;N;449152,780450962;4468378,31646543
13/12/2020 12:40:07;5380;100;0;17;0;N;449193,985978277;4468243,91170096
13/12/2020 12:40:07;5381;420;73;54;2;N;449027,826630259;4468735,49745459
13/12/2020 12:40:07;5382;160;2;26;1;N;448907,745372405;4468723,59238192
13/12/2020 12:40:07;5383;380;2;36;1;N;448851,617135236;4468841,79896387
13/12/2020 12:40:07;5384;800;25;57;2;N;448956,96899931;4468870,98295114
13/12/2020 12:40:07;5368;380;3;35;1;N;448656,532057903;4468610,46758712
13/12/2020 12:40:07;5369;560;2;50;1;N;448650,677255689;4468600,70975596
13/12/2020 12:40:07;3840;180;1;18;0;N;441615,343346657;4475767,9421385
13/12/2020 12:40:07;3841;440;4;18;0;N;441705,882339595;4475769,68733175
13/12/2020 12:40:07;3842;880;4;28;1;N;441319,371258338;4474841,15423716
13/12/2020 12:40:07;3843;260;1;5;0;N;441301,63298559;4474763,7275141
13/12/2020 12:40:07;3844;680;2;13;0;N;441605,765071902;4476132,13924728
13/12/2020 12:40:07;3845;320;1;6;0;N;441382,968851413;4474993,8634694
13/12/2020 12:40:07;3846;1220;5;61;2;N;440758,289091424;4475515,12436752
13/12/2020 12:40:07;3847;340;2;35;1;N;441085,139017928;4475582,13769423
13/12/2020 12:40:07;3848;1040;5;34;1;N;441114,888348354;4475374,79938861
13/12/2020 12:40:07;3850;1080;5;35;1;N;441254,990156824;4475271,45945618
13/12/2020 12:40:07;7029;780;4;17;0;N;441401,492637174;4475072,29327272
13/12/2020 12:40:07;10034;240;6;25;0;N;441294,488284123;4474975,00966206
13/12/2020 12:40:07;3851;800;2;24;0;N;441474,792659173;4475414,14427723
13/12/2020 12:40:07;10035;40;17;11;0;N;441225,949486602;4475017,33978404
13/12/2020 12:40:07;10036;40;1;2;0;N;441134,629601492;4475019,12682102
13/12/2020 12:40:07;3562;1040;4;25;0;N;441594,078438958;4475992,19154856
13/12/2020 12:40:07;3854;220;6;28;1;N;440920,452508756;4475212,93663489
13/12/2020 12:40:07;3852;340;1;8;0;N;441454,558170417;4475270,02564628
13/12/2020 12:40:07;7026;700;5;23;0;N;441404,68126178;4475071,23352072
13/12/2020 12:40:07;7011;499;8;36;1;N;441437,116590312;4475217,1832378
13/12/2020 12:40:07;7030;180;60;34;1;N;441411,753621468;4475130,01019905
13/12/2020 12:40:07;7032;380;10;30;1;N;441463,721234465;4475183,75601971
13/12/2020 12:40:07;3872;560;2;24;0;N;443030,390159122;4472919,54513215
13/12/2020 12:40:07;3891;160;0;13;0;N;442135,879561218;4472901,49980366
13/12/2020 12:40:07;3892;499;3;27;1;N;442131,528085776;4472893,18541482
13/12/2020 12:40:07;3893;140;1;18;0;N;442264,660724713;4472944,67233849
13/12/2020 12:40:07;3894;480;3;17;0;N;442295,403815277;4472816,9989673
13/12/2020 12:40:07;5072;280;2;12;0;N;442794,532529448;4472614,85964144
13/12/2020 12:40:07;5073;420;2;18;0;N;442855,45044416;4472429,94467759
13/12/2020 12:40:07;5074;360;2;24;0;N;442644,678724634;4472570,88944644
13/12/2020 12:40:07;3895;440;2;23;0;N;442943,844978377;4472358,97994159
13/12/2020 12:40:07;3896;40;1;15;0;N;442976,3718848;4472264,16532239
13/12/2020 12:40:07;3897;200;27;42;1;N;442172,151510438;4472758,24133354
13/12/2020 12:40:07;3898;520;6;22;0;N;442186,704876734;4472778,56230304
13/12/2020 12:40:07;3899;580;1;17;0;N;442657,604745335;4473182,16470107
13/12/2020 12:40:07;3900;300;5;20;0;N;442499,923619291;4473130,67422552
